id,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
5BB0Jzw60KyfSTyjJqtely,punk,0.411,0.986,-2.522,0.0583,0.000264,0.00148,0.649,165.981
2EGF4JrisrJ4D4HOdTyYEO,punk,0.405,0.95,-2.8,0.071,0.00033,3.47e-06,0.383,139.715
1mX6SYJ1ZpcoxQUiER8wOI,punk,0.606,0.942,-3.618,0.0357,0.000233,7.07e-06,0.373,110.98
3iitOoZUtWEgwZOEYFITFo,punk,0.608,0.954,-3.507,0.0499,0.0006,0.269,0.723,131.991
0OByd6pqxZzsXZRj6kJYbN,punk,0.479,0.854,-4.129,0.0548,0.000271,4.89e-06,0.129,125.92
2iMjpD1UJzncfBpOsVeupT,punk,0.706,0.39,-16.251,0.826,0.807,0.0,0.917,111.425
1RT6zSjs59gJdFfUshT465,punk,0.413,0.988,-2.165,0.0745,0.0033,0.00334,0.642,162.954
3CX5UKLQ9zqorQDx00Sbgt,punk,0.463,0.961,-3.591,0.169,9.16e-05,0.0262,0.269,136.9
53lQywP7h2KlnfPAbwxWD9,punk,0.41,0.912,-2.795,0.0334,7.46e-05,0.145,0.289,155.031
7cQjIIjLOhbRVCXyIepF2U,punk,0.6,0.799,-3.51,0.0332,0.000252,0.0121,0.647,130.031
08gaUXuT1LXIae7TwBTCB9,punk,0.5,0.978,-5.128,0.103,0.00408,0.593,0.199,100.038
5A0OekqQy0rb1pcsf4k0J7,punk,0.553,0.897,-4.297,0.0444,0.000155,0.0225,0.361,120.007
1QPY7FhOsWSbvpKuQW6q4O,punk,0.479,0.281,-7.095,0.115,0.89,0.000441,0.059,89.815
4kXHIm097G3CemN3PzcpgL,punk,0.261,0.979,-3.652,0.0966,0.000176,0.122,0.64,183.718
6jMNhvUQ56PTiDEekMgaVa,punk,0.482,0.73,-13.89,0.279,0.758,0.0,0.449,128.773
1WMhk0rqZTXQajEGDJLdOR,punk,0.41,0.987,-2.36,0.0565,0.000247,0.00154,0.655,165.983
1sFFxRWtbJmYH3hP5Fvi3v,punk,0.405,0.95,-2.8,0.071,0.00033,3.47e-06,0.383,139.715
7l5PegKXe4o1D1XImvSLL9,punk,0.606,0.942,-3.618,0.0357,0.000233,7.07e-06,0.373,110.98
2CZfcYvUYoVlLIG1vaoLgA,punk,0.607,0.95,-3.505,0.0489,0.000534,0.276,0.741,131.996
5HoL2PQFnFtEkRv8xSjt4z,punk,0.479,0.854,-4.129,0.0548,0.000271,4.89e-06,0.129,125.92
1XPf63F3m2e9zaKD1GTA6L,punk,0.706,0.39,-16.251,0.826,0.807,0.0,0.917,111.425
4w3aDqZg0SiBkT2sULpbi5,punk,0.413,0.988,-2.165,0.0745,0.0033,0.00334,0.642,162.954
4ssxBLVF0XfvMJfWcuzhjG,punk,0.462,0.957,-3.61,0.173,9.24e-05,0.0256,0.265,136.913
1WjvyRShyDKeilccV3q8XD,punk,0.41,0.912,-2.795,0.0334,7.46e-05,0.145,0.289,155.031
4N6Y0z2oOC6M4StjTSIPEB,punk,0.6,0.799,-3.51,0.0332,0.000252,0.0121,0.647,130.031
0W3YlplIcOMhUSHE88Vajn,punk,0.5,0.978,-5.128,0.103,0.00408,0.593,0.199,100.038
1YpGUJHiDpHEy2KHZzuKDy,punk,0.553,0.897,-4.297,0.0444,0.000155,0.0225,0.361,120.007
52NYh6vAg4pJTkCKTzjSwQ,punk,0.479,0.281,-7.095,0.115,0.89,0.000441,0.059,89.815
4aVpDCBjNGaQLnhEfYLlM6,punk,0.255,0.975,-4.263,0.0883,8.23e-05,0.461,0.658,183.396
1HLuOVDTWAFNVmmDvyrwmi,punk,0.204,0.906,-9.925,0.373,0.0693,1.85e-05,0.187,178.226
3aAFyHsFInIc4SWMspqFix,punk,0.154,0.964,-7.017,0.15,6.59e-05,0.00532,0.156,201.407
6TyVZoxBZRQoC8b8fziITF,punk,0.189,0.974,-7.215,0.125,1.35e-05,0.000139,0.142,170.528
6e1NaLcDRgo65NBcQ8DMr9,punk,0.312,0.975,-7.483,0.177,5.72e-05,0.000314,0.16,161.349
